Theme,Opportunity Space,Year Founded,Maturity,Website,Business Description,Funding Stage,Total funding (US$),Region,Country,Company Name,Showing?
CCS and CO2 Reporting,Carbon Footprint Tracking,2018,Emerging,https://lumachain.io,Integrated supply chain visibility platform,Seed,3500000,Asia & the Pacific,Australia,Lumachain,Yes
CCS and CO2 Reporting,Carbon Capture & Storage,2005,Emerging,https://calix.global,Provider of technological services for waste-water treatment,Funded,,Asia & the Pacific,Australia,Calix,Yes
CCS and CO2 Reporting,Carbon Capture & Storage,2006,Distant,https://coal21.com,Carbon capture and storage (CCS) solution provider,Unfunded,,Asia & the Pacific,Australia,Coal21,Yes
CCS and CO2 Reporting,Carbon Capture & Storage,2013,Distant,https://mineralcarbonation.com,Provider of carbon capture and sequestration solutions,Unfunded,,Asia & the Pacific,Australia,Mineral Carbonation International,Yes
CCS and CO2 Reporting,Carbon Capture & Storage,2018,Emerging,https://neighbourhoodeffect.com.au,Environmental impact reduction platform,Funded,,Asia & the Pacific,Australia,The Neighbourhood Effect,Yes
CCS and CO2 Reporting,Carbon Capture & Storage,2015,Emerging,https://doyouundo.com.au,Carbon offset trading platform,Unfunded,,Asia & the Pacific,Australia,Undo,Yes
CCS and CO2 Reporting,Carbon Footprint Tracking,2018,Existing,https://airli.co,Provider of app for managing asthma,Unfunded,,Asia & the Pacific,Australia,Airli,Yes
CCS and CO2 Reporting,Carbon Footprint Tracking,2017,Emerging,https://devery.io,Product Verification Protocol,Funded,,Asia & the Pacific,Australia,Devery,Yes
CCS and CO2 Reporting,Carbon Footprint Tracking,2017,Emerging,https://naturescoin.com,Cryptocurrency backed by natural assets and sustainable initiatives.,Unfunded,,Asia & the Pacific,Australia,NaturesCoin,Yes
CCS and CO2 Reporting,Carbon Footprint Tracking,2017,Emerging,https://serenitysource.com.au,Blockchain platform for renewable energy and carbon offset trading,Unfunded,,Asia & the Pacific,Australia,Serenity Source,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2018,Existing,https://enosi.io,"Open source, decentralized Energy operating system",Unfunded,,Asia & the Pacific,Australia,Enosi,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2016,Existing,https://powerledger.io,P2P Energy trading platform,Seed,,Asia & the Pacific,Australia,Power Ledger,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2016,Existing,https://rightsfusion.com,Blockchain platform for clean Energy validation,Unfunded,,Asia & the Pacific,Australia,RightsFusion,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2018,Existing,https://lunarproject.org,Decentralized marketplace for Energy,Unfunded,,Europe,Austria,Lunar,Yes
CCS and CO2 Reporting,CO2 Upcycling,2007,Distant,https://carboncure.com,"Developer of green concrete technologies: carbon dioxide (CO2) is retrieved from CO2 emitters and input into ready mix concrete and concrete masonry products, where the the CO2 becomes chemically converted into a mineral",Series D,88309570,North America,Canada,CarbonCure,Yes
CCS and CO2 Reporting,Carbon Capture & Storage,2007,Emerging,https://svanteinc.com/,Provider of carbon capture solutions from the air,Funded,33600000,North America,Canada,Svante - Ivantys,Yes
CCS and CO2 Reporting,Carbon Footprint Tracking,2011,Emerging,https://ghgsat.com,Greenhouse gas emission monitoring and analysis service provider,Series A,20000000,North America,Canada,GHGSat,Yes
CCS and CO2 Reporting,Carbon Footprint Tracking,2018,Emerging,https://arolytics.com,Software for monitoring and analyzing atmospheric emissions data,Seed,25000,North America,Canada,Arolytics,Yes
CCS and CO2 Reporting,Carbon Capture & Storage,2010,Existing,https://cleano2.ca,Residential carbon capture device,Funded,,North America,Canada,CleanO2 Carbon Capture Technologies,Yes
CCS and CO2 Reporting,Carbon Capture & Storage,2013,Emerging,https://ionada.com,Membrane technology for carbon capture for marine and power generation,Funded,,North America,Canada,ionada,Yes
CCS and CO2 Reporting,Carbon Capture & Storage,2013,Emerging,https://tandemtechnical.com,Carbon capturing and recycling solution provider for industries,Funded,,North America,Canada,Tandem Technical,Yes
CCS and CO2 Reporting,CO2 Upcycling,2013,Emerging,https://c2cnt.com/,Transform CO2 - carbon nanotubes,Unfunded,,North America,Canada,C2CNT,Yes
CCS and CO2 Reporting,CO2 Upcycling,2013,Emerging,https://carbonupcycling.com/,Transform CO2 - nanoparticules,Unfunded,,North America,Canada,Carbon Upcycling Technologies,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2018,Existing,https://dexentralize.io,Provider of P2P Energy trading solutions,Unfunded,,Latin America and the Caribbean,Chile,Decentralize,Yes
CCS and CO2 Reporting,Carbon Footprint Tracking,2014,Emerging,https://scantrust.com,Counterfeiting protection for retailers and brands,Series A,6000000,Asia & the Pacific,China,ScanTrust,Yes
CCS and CO2 Reporting,Carbon Footprint Tracking,2016,Distant,https://mixislink.com,Blockchain and AI-based Energy intelligence solutions,Seed,2272110,Asia & the Pacific,China,Beijing Rongxing Technology,Yes
CCS and CO2 Reporting,Carbon Capture & Storage,2017,Emerging,https://data-m.co.kr,Provider of carbon monitoring and reduction solutions,Unfunded,,Asia & the Pacific,China,DATA M,Yes
CCS and CO2 Reporting,Carbon Footprint Tracking,2018,Distant,https://data-m.io,Cryptocurrency for environment sustainibility,Unfunded,,Asia & the Pacific,China,Edel Coin,Yes
CCS and CO2 Reporting,Carbon Footprint Tracking,2013,Existing,http://www.onecode.cc/,Provider of supply chain visibility solutions,Series A,,Asia & the Pacific,China,Guangzhou Yiwu Code Internet of Things Information Technology,Yes
CCS and CO2 Reporting,Carbon Footprint Tracking,2014,Emerging,https://idmsensor.com,Manufacturer of gas sensors,Funded,,Asia & the Pacific,China,Suzhou Huiwen Nano Technology,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2011,Existing,https://carbonstop.net,Carbon emission management solution provider,Funded,,Asia & the Pacific,China,Carbonstop,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2016,Existing,https://energolabs.com,Blockchain based Energy distribution network,Unfunded,,Asia & the Pacific,China,Energo Labs,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2017,Existing,https://neny.top,Blockchain-based platform for Energy exchange,Unfunded,,Asia & the Pacific,China,ENY,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2016,Distant,https://veridium.io,Tokenized marketplace for carbon markets,Funded,,Asia & the Pacific,China,Veridium,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2018,Distant,https://xels.io,Offers a carbon dioxide trade platform with the medium of XELS Coin to achieve a global CO2 reduction,Unfunded,,Asia & the Pacific,China,XELS,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2018,Existing,https://cyclesystem.org,Provider of a blockchain-based platform for Energy transactions,Unfunded,,Latin America and the Caribbean,Colombia,Cycle System,Yes
CCS and CO2 Reporting,Carbon Footprint Tracking,2014,Existing,https://everimpact.org,Greenhouse gas measurements,Unfunded,,Europe,Denmark,Everimpact,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2018,Distant,https://rensti.dk,Project enabling members to compensate for their CO2 emissions,Funded,,Europe,Denmark,RenSti,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2018,Distant,https://solstroem.com,Blockchain-based carbon offset trading platform,Unfunded,,Europe,Denmark,Solstroem,Yes
CCS and CO2 Reporting,Carbon Capture & Storage,2009,Emerging,https://carbonengineering.com/,Developers of CO2 capture technologies from air,Series B,115000000,Europe,England,Carbon Engineering,Yes
CCS and CO2 Reporting,Carbon Capture & Storage,2008,Emerging,https://c-capture.co.uk,Developer of carbon capture technology,Series A,4575650,Europe,England,C-Capture,Yes
CCS and CO2 Reporting,Carbon Capture & Storage,2012,Distant,https://moftechnologies.com,"Nanomaterials for a low carbon world, CO2 adsorption properties",Series A,1820000,Europe,England,MOF Technologies,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2015,Existing,https://electron.org.uk,Ethereum blockchain platform for smart grid,Seed,1457700,Europe,England,Electron,Yes
CCS and CO2 Reporting,Carbon Footprint Tracking,2018,Emerging,https://vlux.io,Cryptocurrency designed for P2P Energy trading platform,Seed,344430,Europe,England,Verv,Yes
CCS and CO2 Reporting,Carbon Footprint Tracking,2014,Emerging,https://greenseaguard.com,Emission monitoring systems for marine applications,Seed,96218,Europe,England,Green Sea Guard,Yes
CCS and CO2 Reporting,Carbon Capture & Storage,2006,Existing,https://c8s.co.uk/,Carbon dioxide capture technologies,Unfunded,,Europe,England,Carbon8 Systems,Yes
CCS and CO2 Reporting,Carbon Footprint Tracking,2016,Emerging,https://emsys-maritime.com,Manufacturer of marine emissions monitoring systems,Funded,,Europe,England,Emsys Maritime,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2013,Emerging,https://airates.com,Air freight marketplace,Unfunded,,Europe,England,AIRates,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2014,Emerging,https://batan.io,Decentralized network to trade emission allowances and carbon credits,Unfunded,,Europe,England,Batan,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2017,Emerging,https://carbonex.co,Blockchain-based carbon credit exchange platform,Unfunded,,Europe,England,Carbonex,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2017,Existing,https://chainge.Energy,Provider of a network of nanogrids with interconnected Energy distribution,Unfunded,,Europe,England,Chainge Energy,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2012,Existing,https://earth-token.com,ERC20 token to support Natural Asset Exchange,Unfunded,,Europe,England,Earth Token,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2018,Existing,https://gandalfcoins.com,Cryptocurrency designed for the Energy industry,Unfunded,,Europe,England,Gandalfcoins,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2018,Existing,https://gpm-carbon.com,Blockchain-based solutions for environmental sustainability,Unfunded,,Europe,England,GPM Carbon,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2017,Existing,https://modularity-grid.com,Enable transactive grid using block chain,Unfunded,,Europe,England,Modularity,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2019,Distant,https://offsetra.com,Platform for providing carbon offset credits,Unfunded,,Europe,England,Offsetra,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2017,Existing,https://solarex.io,Blockchain-based solutions for solar Energy,Unfunded,,Europe,England,Solarex,Yes
